trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.76812041625135,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-105.36206709604309,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,19,0.3675419878178897,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-24.04049946077513,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-70.3377153815766,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-137.09660504967587,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-71.12660424068454,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-94.28791449367719,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-57.19178777216538,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-26.159944141056698,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-90.5314790663817,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,21.704919307111187,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-21.24053483195469,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-55.135964189422324,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-26.431660044352626,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,22.423607067960567,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-20.810360775043424,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,10,7.982459064193012,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,11.10484055382907,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,14.00133803750736,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,16,20.737086320403474,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,13,8.238944598466679,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,17.699128622430802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,27.936067727111283,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,29.23556251184254,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,6,23.189256805161243,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,12,26.55450042824613,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,30.79251238011951,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,31.23477296617891,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,33.727868323694665,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
