trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,4,-127.95139573992654,"{0: 6, 1: 3, 2: 4, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-104.1865744427208,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999500004166653}",25,0,-106.45246090552403,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-125.52271064826624,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-77.87732157533662,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9996875162757026}",25,1,-100.64961853668348,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,8,-59.2227623432973,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9993875625234886}",25,0,-84.22603399984705,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-99.46648408378482,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9989876708478425}",25,0,-190.50582134394978,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,0,-175.96693806414424,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9984878812375985}",30,0,-85.9788182310037,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-83.72982425222685,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9978882436713011}",25,0,-143.92311363999403,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9975510002532796}",30,0,-109.24580950105396,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-138.8261017774143,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9968017063026194}",30,0,-170.21340889499493,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9963896745022904}",25,0,-188.6890189785925,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-139.0322781607698,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9954908927552453}",25,0,-88.52878114317105,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9950041652780258}",20,0,-141.32622768750684,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,18,-13.2328050072522,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,17,-7.690689763023537,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.9933947843142158}",25,0,-110.04122741124058,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9928086358538663}",25,0,-126.53566278741212,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.992197667229329}",20,0,-150.71146616742158,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-144.06622350468706,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9909013312045479}",30,12,-117.42735076182692,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.9902159962126371}",25,1,-123.87690019293602,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.9895059058723947}",30,0,-253.5233183417955,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,12,-7.295857332078149,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9880115307742399}",20,0,-246.30464653404425,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 4}",0
33,False,"{'a': 0.5, 'e': 0.9872272833756269}",25,0,-55.86097809764406,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9864183553463477}",30,0,-214.42142626129132,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9855847669095608}",30,0,-139.03401306730984,"{0: 17, 1: 6, 2: 3, 3: 3, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-173.6063663795154,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9838436927881214}",35,0,-167.20064960300715,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9829362506302315}",20,12,-27.96775767999784,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.9820042351172703}",25,14,-58.668377406980724,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.9810476695495772}",20,0,-125.22791415882234,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-104.33087321360921,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9790609845195051}",20,0,-85.27049752025003,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9780309147241483}",25,0,-208.123889514675,"{0: 13, 1: 0, 2: 6, 3: 4, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9769763942068623}",30,0,-171.65310124646408,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9758974493306055}",20,0,-76.91152749020371,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9747941070689433}",25,0,-178.2333596873734,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
47,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-51.88819771194354,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.972514341332643}",20,14,-10.343881889122791,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-53.841655666250674,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9701373249726354}",30,0,-184.03015162496723,"{0: 16, 1: 2, 2: 7, 3: 4, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-109.97820528185319,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9676632956885756}",25,0,-92.30644443922301,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9663899781345132}",25,0,-100.76661509835799,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9650925008813303}",25,0,-54.46473111803355,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9637708963658905}",30,0,-208.0169196574321,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.962425197628238}",20,15,-5.905347691023192,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,0,-180.3676508740008,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9596616526574011}",25,0,-202.50160299353618,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.9582438755126972}",30,0,-52.82966766364414,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9568021423210139}",35,13,-92.06450012890916,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-70.58203177172014,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9538469525677271}",20,13,2.4074249967596484,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.9523335698857134}",25,0,-116.32382185227254,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9507963789140532}",20,0,7.761281740362268,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9492354180824408}",35,0,-108.05119905544768,"{0: 26, 1: 1, 2: 5, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9476507264148157}",30,0,-136.1424939522734,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.946042343528387}",25,0,-114.6149214241357,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.944410309632643}",25,0,-106.84250191129186,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9427546655283462}",25,0,-160.60987314232372,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.941075452606513}",20,0,-68.84813131558055,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9393727128473789}",25,0,-144.63094856233383,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.9376464888193493}",35,0,-156.9089422631296,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,18,5.443471869572393,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.9341237611646731}",25,0,-64.49860053021345,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9323273456060345}",20,0,-81.85404924725268,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9305076219123143}",25,13,-31.386168547658663,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.9286646355765102}",25,0,-199.68378426067343,"{0: 15, 1: 0, 2: 4, 3: 3, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9267984326731847}",20,0,-146.92463257980674,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9249090598573131}",20,0,-157.83020480668628,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9229965643631173}",25,6,-108.59092045120538,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
