trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.36260834568863,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.26000929327606,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-54.778620555210836,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.16211246828072,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.93541104238629,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.84731168648713,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.56636607270684,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.6827606405499,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.07285431794372,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.1773641808606,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.62946035477984,"{0: 14, 1: 7, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-287.9796411018426,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.3509299434899,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.98758609771363,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.5645917846004,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.433481249942687,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,21,-22.254438876231692,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,2,-54.552220604100256,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.28221054656197,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.48113419519217,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-71.2200659233513,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-204.58129534997136,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.13319891425742,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-203.33050855909278,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.88274466729392,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-157.24470649982507,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.001361139323,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,14,-56.95194984175301,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.18428687954048,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.57750763498932,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
